date,vehicle_category,maker,electric_vehicles_sold
1-Apr-21,2-Wheelers,OLA ELECTRIC,0
1-Apr-22,2-Wheelers,OKAYA EV,0
1-May-21,2-Wheelers,OLA ELECTRIC,0
1-Jun-21,2-Wheelers,OLA ELECTRIC,0
1-Jul-21,2-Wheelers,OLA ELECTRIC,0
1-Aug-21,2-Wheelers,OLA ELECTRIC,0
1-Sep-21,2-Wheelers,OLA ELECTRIC,0
1-Oct-21,2-Wheelers,OLA ELECTRIC,0
1-Nov-21,2-Wheelers,OLA ELECTRIC,0
1-Apr-21,4-Wheelers,BYD India,0
1-Apr-21,4-Wheelers,PCA Automobiles,0
1-Apr-21,4-Wheelers,BMW India,0
1-Apr-21,4-Wheelers,Volvo Auto India,0
1-Apr-21,4-Wheelers,KIA Motors,0
1-Apr-22,4-Wheelers,PCA Automobiles,0
1-Apr-22,4-Wheelers,Volvo Auto India,0
1-Apr-22,4-Wheelers,KIA Motors,0
1-May-21,4-Wheelers,BYD India,0
1-May-21,4-Wheelers,PCA Automobiles,0
1-May-21,4-Wheelers,BMW India,0
1-May-21,4-Wheelers,Mercedes -Benz AG,0
1-May-21,4-Wheelers,Volvo Auto India,0
1-May-21,4-Wheelers,KIA Motors,0
1-May-22,4-Wheelers,PCA Automobiles,0
1-May-22,4-Wheelers,Volvo Auto India,0
1-May-22,4-Wheelers,KIA Motors,0
1-Jun-21,4-Wheelers,BYD India,0
1-Jun-21,4-Wheelers,PCA Automobiles,0
1-Jun-21,4-Wheelers,BMW India,0
1-Jun-21,4-Wheelers,Volvo Auto India,0
1-Jun-21,4-Wheelers,KIA Motors,0
1-Jun-22,4-Wheelers,PCA Automobiles,0
1-Jun-22,4-Wheelers,Volvo Auto India,0
1-Jun-22,4-Wheelers,KIA Motors,0
1-Jul-21,4-Wheelers,BYD India,0
1-Jul-21,4-Wheelers,PCA Automobiles,0
1-Jul-21,4-Wheelers,BMW India,0
1-Jul-21,4-Wheelers,Volvo Auto India,0
1-Jul-21,4-Wheelers,KIA Motors,0
1-Jul-22,4-Wheelers,PCA Automobiles,0
1-Jul-22,4-Wheelers,Volvo Auto India,0
1-Jul-22,4-Wheelers,KIA Motors,0
1-Aug-21,4-Wheelers,BYD India,0
1-Aug-21,4-Wheelers,PCA Automobiles,0
1-Aug-21,4-Wheelers,BMW India,0
1-Aug-21,4-Wheelers,Volvo Auto India,0
1-Aug-21,4-Wheelers,KIA Motors,0
1-Aug-22,4-Wheelers,PCA Automobiles,0
1-Aug-22,4-Wheelers,Volvo Auto India,0
1-Aug-22,4-Wheelers,KIA Motors,0
1-Sep-21,4-Wheelers,BYD India,0
1-Sep-21,4-Wheelers,PCA Automobiles,0
1-Sep-21,4-Wheelers,BMW India,0
1-Sep-21,4-Wheelers,Volvo Auto India,0
1-Sep-21,4-Wheelers,KIA Motors,0
1-Sep-22,4-Wheelers,PCA Automobiles,0
1-Sep-22,4-Wheelers,Volvo Auto India,0
1-Sep-22,4-Wheelers,KIA Motors,0
1-Oct-21,4-Wheelers,BYD India,0
1-Oct-21,4-Wheelers,PCA Automobiles,0
1-Oct-21,4-Wheelers,BMW India,0
1-Oct-21,4-Wheelers,Volvo Auto India,0
1-Oct-21,4-Wheelers,KIA Motors,0
1-Oct-22,4-Wheelers,PCA Automobiles,0
1-Oct-22,4-Wheelers,Volvo Auto India,0
1-Nov-21,4-Wheelers,BYD India,0
1-Nov-21,4-Wheelers,PCA Automobiles,0
1-Nov-21,4-Wheelers,BMW India,0
1-Nov-21,4-Wheelers,Volvo Auto India,0
1-Nov-21,4-Wheelers,KIA Motors,0
1-Nov-22,4-Wheelers,PCA Automobiles,0
1-Dec-21,4-Wheelers,PCA Automobiles,0
1-Dec-21,4-Wheelers,BMW India,0
1-Dec-21,4-Wheelers,Volvo Auto India,0
1-Dec-21,4-Wheelers,KIA Motors,0
1-Dec-22,4-Wheelers,PCA Automobiles,0
1-Jan-22,4-Wheelers,PCA Automobiles,0
1-Jan-22,4-Wheelers,BMW India,0
