date,fiscal_year,quarter
1-Apr-21,2022,Q1
1-May-21,2022,Q1
1-Jun-21,2022,Q1
1-Jul-21,2022,Q2
1-Aug-21,2022,Q2
1-Sep-21,2022,Q2
1-Oct-21,2022,Q3
1-Nov-21,2022,Q3
1-Dec-21,2022,Q3
1-Jan-22,2022,Q4
1-Feb-22,2022,Q4
1-Mar-22,2022,Q4
1-Apr-22,2023,Q1
1-May-22,2023,Q1
1-Jun-22,2023,Q1
1-Jul-22,2023,Q2
1-Aug-22,2023,Q2
1-Sep-22,2023,Q2
1-Oct-22,2023,Q3
1-Nov-22,2023,Q3
1-Dec-22,2023,Q3
1-Jan-23,2023,Q4
1-Feb-23,2023,Q4
1-Mar-23,2023,Q4
1-Apr-23,2024,Q1
1-May-23,2024,Q1
1-Jun-23,2024,Q1
1-Jul-23,2024,Q2
1-Aug-23,2024,Q2
1-Sep-23,2024,Q2
1-Oct-23,2024,Q3
1-Nov-23,2024,Q3
1-Dec-23,2024,Q3
1-Jan-24,2024,Q4
1-Feb-24,2024,Q4
1-Mar-24,2024,Q4
