date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
1-Apr-21,Sikkim,2-Wheelers,0,398
1-Apr-21,Sikkim,4-Wheelers,0,361
1-May-21,Sikkim,2-Wheelers,0,113
1-May-21,Sikkim,4-Wheelers,0,98
1-Jun-21,Sikkim,2-Wheelers,0,229
1-Jun-21,Sikkim,4-Wheelers,0,244
1-Jul-21,Sikkim,2-Wheelers,0,458
1-Jul-21,Sikkim,4-Wheelers,0,452
1-Aug-21,Sikkim,2-Wheelers,0,489
1-Aug-21,Sikkim,4-Wheelers,0,408
1-Sep-21,Sikkim,2-Wheelers,0,540
1-Sep-21,Sikkim,4-Wheelers,0,355
1-Oct-21,Sikkim,2-Wheelers,0,455
1-Oct-21,Sikkim,4-Wheelers,0,345
1-Nov-21,Sikkim,2-Wheelers,0,478
1-Nov-21,Sikkim,4-Wheelers,0,351
1-Dec-21,Sikkim,2-Wheelers,0,454
1-Dec-21,Sikkim,4-Wheelers,0,394
1-Jan-22,Sikkim,2-Wheelers,0,400
1-Jan-22,Sikkim,4-Wheelers,0,270
1-Feb-22,Sikkim,2-Wheelers,0,384
1-Feb-22,Sikkim,4-Wheelers,0,371
1-Mar-22,Sikkim,2-Wheelers,0,460
1-Mar-22,Sikkim,4-Wheelers,0,390
1-Apr-22,Sikkim,2-Wheelers,0,455
1-Apr-22,Sikkim,4-Wheelers,0,380
1-May-22,Sikkim,2-Wheelers,0,461
1-May-22,Sikkim,4-Wheelers,0,421
1-Jun-22,Sikkim,2-Wheelers,0,429
1-Jun-22,Sikkim,4-Wheelers,0,446
1-Jul-22,Sikkim,2-Wheelers,0,409
1-Jul-22,Sikkim,4-Wheelers,0,439
1-Aug-22,Sikkim,2-Wheelers,0,394
1-Aug-22,Sikkim,4-Wheelers,0,421
1-Sep-22,Sikkim,2-Wheelers,0,443
1-Sep-22,Sikkim,4-Wheelers,0,581
1-Oct-22,Sikkim,2-Wheelers,0,371
1-Oct-22,Sikkim,4-Wheelers,0,340
1-Nov-22,Sikkim,2-Wheelers,0,431
1-Nov-22,Sikkim,4-Wheelers,0,411
1-Dec-22,Sikkim,2-Wheelers,0,274
1-Dec-22,Sikkim,4-Wheelers,0,288
1-Jan-23,Sikkim,2-Wheelers,0,470
1-Jan-23,Sikkim,4-Wheelers,0,420
1-Feb-23,Sikkim,2-Wheelers,0,324
1-Feb-23,Sikkim,4-Wheelers,0,364
1-Mar-23,Sikkim,2-Wheelers,0,454
1-Mar-23,Sikkim,4-Wheelers,0,505
1-Apr-23,Sikkim,2-Wheelers,0,465
1-Apr-23,Sikkim,4-Wheelers,0,439
1-May-23,Sikkim,2-Wheelers,0,507
1-May-23,Sikkim,4-Wheelers,0,448
1-Jun-23,Sikkim,2-Wheelers,0,517
1-Jun-23,Sikkim,4-Wheelers,0,457
1-Jul-23,Sikkim,2-Wheelers,0,423
1-Jul-23,Sikkim,4-Wheelers,0,371
1-Aug-23,Sikkim,2-Wheelers,0,465
1-Aug-23,Sikkim,4-Wheelers,0,460
1-Sep-23,Sikkim,2-Wheelers,0,546
1-Sep-23,Sikkim,4-Wheelers,0,509
1-Oct-23,Sikkim,2-Wheelers,0,398
1-Oct-23,Sikkim,4-Wheelers,0,389
1-Nov-23,Sikkim,2-Wheelers,0,470
1-Nov-23,Sikkim,4-Wheelers,0,403
1-Dec-23,Sikkim,2-Wheelers,0,365
1-Dec-23,Sikkim,4-Wheelers,0,318
1-Jan-24,Sikkim,2-Wheelers,0,509
1-Jan-24,Sikkim,4-Wheelers,0,422
1-Feb-24,Sikkim,2-Wheelers,0,408
1-Feb-24,Sikkim,4-Wheelers,0,375
1-Mar-24,Sikkim,2-Wheelers,0,399
1-Mar-24,Sikkim,4-Wheelers,0,455
1-Apr-21,Andaman & Nicobar Island,2-Wheelers,0,515
1-Apr-21,Arunachal Pradesh,2-Wheelers,0,1256
1-Apr-21,Arunachal Pradesh,4-Wheelers,0,724
1-Apr-21,Assam,4-Wheelers,0,6576
1-Apr-21,Chhattisgarh,4-Wheelers,0,1563
1-Apr-21,DNH and DD,4-Wheelers,0,278
1-Apr-21,Jammu and Kashmir,4-Wheelers,0,5107
1-Apr-21,Ladakh,2-Wheelers,0,2
1-Apr-21,Ladakh,4-Wheelers,0,20
1-Apr-21,Manipur,4-Wheelers,0,808
1-Apr-21,Meghalaya,2-Wheelers,0,1189
1-Apr-21,Mizoram,2-Wheelers,0,1507
1-Apr-21,Mizoram,4-Wheelers,0,281
1-Apr-21,Nagaland,2-Wheelers,0,561
1-Apr-21,Nagaland,4-Wheelers,0,747
1-Apr-21,Puducherry,4-Wheelers,0,655
1-Apr-21,Tripura,2-Wheelers,0,2906
1-Apr-21,Tripura,4-Wheelers,0,289
1-May-21,Andaman & Nicobar Island,2-Wheelers,0,4
1-May-21,Andaman & Nicobar Island,4-Wheelers,0,1
